date,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C)
02 16 2026,27.1,30.9,24.8,32.6,37.1,30.1
02 17 2026,27.3,30.9,24.6,32,37.4,29.6
02 18 2026,27.2,32.1,24.2,29.9,33.9,27.6
02 19 2026,27.4,32.8,24,29.2,33.7,27
02 20 2026,27.3,30.5,24.5,30,34.2,27.3
02 21 2026,27.2,31,24.4,29.8,34.1,27.7
02 22 2026,27.4,31.5,24.1,30.2,35.1,27.2
02 23 2026,28.2,33.5,24.6,31,36.8,28
02 24 2026,28.3,32,25.6,32,36.3,29
02 25 2026,28.6,32.9,25.8,32.1,37.5,29.4
02 26 2026,27.9,32.2,25.2,30.6,36.1,28
02 27 2026,27.5,32.9,24,31,36.5,27.5
02 28 2026,28.1,33,24.5,31.1,36.1,27.9
03 1 2026,28.2,32.1,24.7,31.5,36.4,27.7
03 2 2026,28.5,31.6,26,32.8,37.2,29.9
03 3 2026,28.6,33.4,25.1,31.8,37.1,29.1
03 4 2026,28,33.1,23.6,30.9,36.4,26.9
03 5 2026,28.5,32,25.5,31.5,36.6,28.3
03 6 2026,28.4,31.5,25.5,32.3,36.5,29.4
03 7 2026,28.5,32.5,25.8,32.2,36.7,30.1
03 8 2026,28,31.9,25.6,30.9,35,29.4
03 9 2026,27.8,32.2,24.8,29.8,34.4,27.6
03 10 2026,27.5,32,25,29.1,33.8,26.9
03 11 2026,26.9,30.9,23.8,29.1,33.9,26.1
03 12 2026,26.8,30.6,23.8,29.4,34.2,26.3
03 13 2026,26,29.9,23.7,27.5,31.6,23.4
03 14 2026,25.1,29.1,22.1,24.7,28.4,22.6
03 15 2026,25.1,29.6,21.4,25.2,30.2,22.2
03 16 2026,25.8,30.4,22.2,26.5,30.4,23.6
03 17 2026,26.4,29.9,23.1,29.2,33.9,26
03 18 2026,27,30.5,23.9,30.2,35.5,27.5
03 19 2026,27.5,31.9,24.5,30.4,35.6,27.6
03 20 2026,27.2,31.5,23.7,29.6,34.6,26.5
03 21 2026,27.6,32.2,24.3,29.8,35,26.7
03 22 2026,27.4,32,23.9,29.5,35,26.5
03 23 2026,27.5,32.7,24,29.7,34.3,26.6
03 24 2026,27.5,32.3,23.1,29.6,35.2,24.9
03 25 2026,28.1,31.3,25,31.4,36.7,27.8
03 26 2026,28.5,32.3,26.2,32.5,37.8,30
03 27 2026,28,32.2,24.8,31.5,37.3,28.7
03 28 2026,28.5,32.5,24.8,32.2,38.1,28.3
03 29 2026,28.5,32.5,25,31.9,37.4,28.1
03 30 2026,29,33.4,25.3,32.2,37.7,28.3
03 31 2026,29.1,33.4,25.6,31.8,37.8,28.3
04 1 2026,28.6,32.7,24.9,31.6,36.2,28.2
04 2 2026,28.9,34.3,24.2,30.9,37.3,27.4
04 3 2026,28.8,33.5,24.4,30.6,36.8,27.2
04 4 2026,28.8,33.2,24.9,31.6,37.2,28.1
04 5 2026,30.2,35,26.5,33.3,38.2,30.3
04 6 2026,30.2,35.4,25.8,32.8,38.2,28.9
04 7 2026,29.8,34.6,25.9,33.3,38.8,29.9
04 8 2026,30.3,34.7,27,33.7,38.1,30.6
04 9 2026,29.2,33.4,24.5,32.3,37.7,27.5
04 10 2026,29.8,33.5,26.8,33.6,38.1,31.4
04 11 2026,30,33.8,27,34,38.3,31
04 12 2026,29.6,33.9,26.1,33.2,37.9,30.2
04 13 2026,29.8,34.2,26,32.7,37.4,29
04 14 2026,29.7,33.5,26.9,32.8,37,30
04 15 2026,29.6,33.8,25.4,31.9,36.6,28.1
04 16 2026,29.5,34.3,25.2,32.8,37.9,28.5
04 17 2026,30.2,33.8,27.2,33.8,38,31.2
04 18 2026,30.1,34.2,26.6,33.7,38.1,30.3
04 19 2026,29.7,33.3,26.8,33.5,37.9,30.8
04 20 2026,30,34,26.6,33.3,38.2,30.4
04 21 2026,30.2,34.8,26.2,32.5,37.1,29.4
04 22 2026,30.3,34.7,26.1,32.5,37.5,29.1
04 23 2026,30.2,34.2,26,33.5,38.9,29.9
04 24 2026,30.5,34.8,26.9,34.2,38.6,31.1
04 25 2026,30.8,35.4,27,34.4,39.4,31.2
04 26 2026,30.9,35.4,27.5,35,39.7,31.9
04 27 2026,31,35.5,27.9,34.6,40.4,31.8
04 28 2026,30.9,34.6,27.8,34,38.2,31.5
04 29 2026,30.9,34.9,26.3,34.4,39.9,30.8
04 30 2026,30.7,34.5,26.8,33.9,38.2,29.9
05 1 2026,31.1,35.9,27.3,34.5,40.8,30.7
